ID,foulGiven,foulCommitted
1308,2.0,6.0
1309,2.0,0.0
1310,0.0,2.0
1311,1.0,1.0
1312,0.0,2.0
1313,2.0,2.0
1314,1.0,2.0
1315,1.0,0.0
1316,1.0,0.0
1317,1.0,4.0
1318,2.0,1.0
1319,1.0,3.0
1320,0.0,0.0
1321,0.0,0.0
1322,1.0,2.0
1323,1.0,1.0
1324,26.0,16.0
1325,13.0,3.0
1326,3.0,6.0
1327,0.0,0.0
1328,1.0,3.0
1329,0.0,1.0
1330,2.0,2.0
1331,22.0,3.0
1332,4.0,8.0
1333,19.0,27.0
1334,17.0,6.0
1335,16.0,11.0
1336,13.0,2.0
1337,0.0,1.0
1338,60.0,31.0
1339,23.0,24.0
1340,1.0,1.0
1341,22.0,21.0
1342,2.0,0.0
1343,33.0,34.0
1344,1.0,1.0
1345,20.0,30.0
1346,17.0,12.0
1347,40.0,33.0
1348,5.0,3.0
1349,16.0,12.0
1350,25.0,37.0
1351,19.0,17.0
1352,7.0,7.0
